ticker,market_cap,roe,eps,revenue,net_income,total_equity,operating_cf,free_cash_flow,source_name,source_file,data_as_of,table_grain
7769,1338679230464,0.34452,75.57,30270625792.0,12361795584.0,58031068000.0,16185750000.0,15900084000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3653,517966790656,0.28155002,36.06,20275576832.0,5277165056.0,22837360000.0,4773519000.0,3579985000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
2383,1766522486784,0.40683997,40.67,105647775744.0,16519799808.0,50455503000.0,11967828000.0,2090327000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
6285,130831032320,0.09656,6.26,111040479232.0,3277148928.0,34288535000.0,8518355000.0,5306527000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3017,1013782216704,0.4986,48.13,139639357440.0,19186495488.0,44600767000.0,39415135000.0,31772154000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
2449,372937228288,0.17618999,6.5,37809999872.0,9011804160.0,50429320000.0,13151787000.0,-19211080000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3036,360438104064,0.122329995,10.3,1177948913664.0,13273723904.0,102875558000.0,42427646000.0,42108504000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
2360,1018736738304,0.0,27.57,33304934400.0,13433052160.0,31897732000.0,5257632000.0,2830457000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
3231,446847877120,0.2722,8.41,2686340562944.0,31707379712.0,177579316000.0,-105809663000.0,-146921705000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
6770,258175664128,0.081499994,-1.86,49186099200.0,7515595776.0,82000187000.0,7823459000.0,-769370000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
