ticker,as_of_date,institution_sentiment_score,public_sentiment_score,institution_avg_target_price,institution_target_count,institution_positive_count,institution_negative_count,public_bullish_count,public_bearish_count,news_bullish_count,news_bearish_count,divergence_flag,divergence_summary,generated_at
2330,2026-05-17,0.7,0.0,2493.75,2,2,0,0,0,2,0,True,法人觀點比公眾更樂觀。,2026-05-17T03:37:20+00:00
2412,2026-05-17,0.0,0.35,138.0,1,0,0,1,0,2,0,True,公眾觀點比法人更樂觀。,2026-05-17T03:37:20+00:00
2603,2026-05-17,0.35,0.35,232.25,2,1,0,1,0,1,0,False,法人與公眾方向大致一致，近期新聞偏多。,2026-05-17T03:37:20+00:00
2881,2026-05-17,0.0,0.0,0.0,0,0,0,0,0,0,0,False,法人與公眾方向大致一致。,2026-05-17T09:40:54+00:00
2382,2026-05-17,0.0,0.0,0.0,0,0,0,0,0,0,0,False,法人與公眾方向大致一致。,2026-05-17T09:43:19+00:00
