date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,175411403000.0,-10048659000.0,-7435002000.0,6619088000.0,-14560668000.0,-7941580000.0,363222429000.0,557502008000.0,194279579000.0,155423904000.0,75827629000.0,6365741000.0,-1.5785529131643905,57.0589392499632,-2.766530422602289
2024-12-31,200040347000.0,-1231765000.0,-4016127000.0,11461388000.0,-16197999000.0,-4736611000.0,288980935000.0,496830078000.0,207849143000.0,105864994000.0,116630660000.0,6365741000.0,-0.19349907575567402,45.3962759402244,-0.4262443818309329
2023-12-31,199138777000.0,7337709000.0,-4027469000.0,6157311000.0,-13636595000.0,-7479284000.0,347360145000.0,530738356000.0,183378211000.0,159638262000.0,103101676000.0,6365741000.0,1.1526873305087342,54.567118737630075,2.112421101160008
2022-12-31,251647354000.0,36142868000.0,26798184000.0,56801615000.0,-14786645000.0,42014970000.0,357684863000.0,511254407000.0,153569544000.0,160820260000.0,95863320000.0,6365741000.0,5.677715760034849,56.189038008301,10.104668030080994
2021-12-31,,,,,,,,,,,,,,,
