date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,30270625000.0,12361796000.0,14996909000.0,16185750000.0,-285666000.0,15900084000.0,58031068000.0,73270068000.0,15239000000.0,70195329000.0,15027873000.0,179903000.0,68.71367347959733,322.56865088408756,21.302030836309957
2024-12-31,13992344000.0,5285929000.0,6558000000.0,2307808000.0,-132659000.0,2175149000.0,13731810000.0,21865853000.0,8134043000.0,19536810000.0,8028190000.0,161600000.0,32.709956683168315,84.97407178217821,38.494044120913415
2023-12-31,9489437000.0,3067812000.0,3694238000.0,5283416000.0,-230062000.0,5053354000.0,12315415000.0,16877086000.0,4561671000.0,14743914000.0,4524821000.0,161600000.0,18.98398514851485,76.20925123762376,24.91034203881883
2022-12-31,13469491000.0,4355867000.0,5040695000.0,3503378000.0,-403891000.0,3099487000.0,11654495000.0,16435275000.0,4780780000.0,14638325000.0,4758316000.0,161600000.0,26.954622524752477,72.11939975247525,37.37499565618244
2021-12-31,,,,,,,,,,,,,,,
