date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-09-30,328934353000.0,3815714000.0,5919486000.0,6767482000.0,-165816000.0,6601666000.0,90135105000.0,475744218000.0,385349041000.0,420527582000.0,343251979000.0,1122825000.0,3.3983158550976333,80.27529223164785,4.233327292401778
2025-06-30,259503350000.0,2830135000.0,4803760000.0,205444000.0,-130600000.0,74844000.0,79574116000.0,398139608000.0,318316316000.0,342504670000.0,275185046000.0,1121631000.0,2.5232317937004236,70.9450041947842,3.5566025012455054
2025-03-31,247424457000.0,2706964000.0,4672137000.0,12819844000.0,-198213000.0,12621631000.0,107713583000.0,432209694000.0,324226969000.0,372461499000.0,277165021000.0,1121267000.0,2.4142010778877823,96.06416937268287,2.513112946953032
2024-12-31,261877604000.0,2536146000.0,4248336000.0,18854576000.0,-93684000.0,18760892000.0,102875558000.0,412490286000.0,308627014000.0,351986234000.0,240334886000.0,1117153000.0,2.2701868052093133,92.08725931004975,2.4652561301295686
2024-09-30,261255812000.0,2835990000.0,4210435000.0,-5366198000.0,-125490000.0,-5491688000.0,92406671000.0,407416370000.0,314119240000.0,352044627000.0,226856960000.0,1116422000.0,2.5402491172692763,82.7703780470109,3.0690316719666266
