date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,57608253000.0,1631923000.0,1524555000.0,1167584000.0,-460926000.0,706658000.0,54602389000.0,120954606000.0,66352217000.0,108601380000.0,58874927000.0,844856200.0,1.9315985371238324,64.62921027270676,2.988739192345595
2025-09-30,57731197000.0,1695944000.0,1824269000.0,709583000.0,-601087000.0,108496000.0,52121317000.0,122592420000.0,70471103000.0,110640175000.0,63043262000.0,844856200.0,2.007375929773611,61.69253063420734,3.2538394991055193
2025-06-30,61316631000.0,1342802000.0,2058630000.0,-122178000.0,-2245510000.0,-2367688000.0,49735751000.0,120727917000.0,70992166000.0,109188630000.0,63504414000.0,844856200.0,1.5893852705347964,58.86889508534115,2.6998727736110792
2025-03-31,53540350000.0,1077145000.0,963364000.0,2216449000.0,-245624000.0,1970825000.0,50099582000.0,110063116000.0,59963534000.0,100474132000.0,58865490000.0,844856200.0,1.2749447775846352,59.29953760178359,2.15000795815023
2024-12-31,51486818000.0,461244000.0,621706000.0,5687907000.0,-186845000.0,5501062000.0,52874054000.0,96620482000.0,43746428000.0,87201812000.0,42651817000.0,844856200.0,0.5459437949322027,62.583495274107,0.8723446853536141
2024-09-30,,,,,,,,,,,,,,,
