date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,25861156000.0,3092289000.0,4447966000.0,6624868000.0,-103557000.0,6521311000.0,19463937000.0,83381417000.0,56683991000.0,76418651000.0,55359322000.0,235330000.0,13.140224365784217,82.70911910933583,15.887273987785719
2025-09-30,24512243000.0,2496801000.0,3949091000.0,12928754000.0,-32504000.0,12896250000.0,15871226000.0,81045891000.0,59331290000.0,75446639000.0,56302698000.0,233607000.0,10.68804017002915,67.93985625430744,15.731620228960258
2025-06-30,15036288000.0,670649000.0,1153295000.0,394819000.0,-67438000.0,327381000.0,12849774000.0,70382464000.0,51948818000.0,65079238000.0,50784727000.0,233018000.0,2.878099545957823,55.144984507634604,5.219150157816005
2025-03-31,12074965000.0,885231000.0,1149029000.0,3163290000.0,-35708000.0,3127582000.0,15622251000.0,64974238000.0,43118861000.0,59768081000.0,41837689000.0,233018000.0,3.798981194585826,67.04310825773116,5.666475337004892
2024-12-31,10718607000.0,1322402000.0,1905836000.0,-3052841000.0,-43812000.0,-3096653000.0,14587612000.0,60497028000.0,39956410000.0,55348058000.0,38348080000.0,233005000.0,5.675423274178666,62.60643333834038,9.065239739033366
2024-09-30,,,,,,,,,,,,,,,
