date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,21016187000.0,2266752000.0,2313700000.0,4118245000.0,-1851942000.0,2266303000.0,47862670000.0,90497033000.0,42634363000.0,50935396000.0,30575905000.0,1191820600.0,1.9019238298112988,40.159290752316245,4.735949749564744
2025-09-30,20049128000.0,2155386000.0,2517306000.0,1913883000.0,-1668212000.0,245671000.0,44296018000.0,87003172000.0,42707154000.0,48771996000.0,29981116000.0,1191820600.0,1.8084819141404336,37.16668263663172,4.86586853021416
2025-06-30,18200497000.0,831342000.0,1866669000.0,3307440000.0,-1309868000.0,1997572000.0,40945845000.0,80692172000.0,39746327000.0,43621984000.0,27292330000.0,1191820600.0,0.697539545800769,34.35571175728965,2.030345203524314
2025-03-31,16729875000.0,1313388000.0,1468843000.0,1948224000.0,-1854585000.0,93639000.0,43332437000.0,87073849000.0,43741412000.0,47558103000.0,30929253000.0,1191820600.0,1.10200142538231,36.358187633273,3.0309580788174917
2024-12-31,19832529000.0,1657451000.0,1775706000.0,3307600000.0,-1598370000.0,1709230000.0,44469124000.0,85260464000.0,40791340000.0,46234211000.0,27850668000.0,1191820600.0,1.390688330106058,37.31192765085618,3.7271950758463332
2024-09-30,,,,,,,,,,,,,,,
