date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,66093193000.0,9069393000.0,11000420000.0,29117778000.0,-56333000.0,29061445000.0,18624769000.0,78822962000.0,59955517000.0,74746288000.0,58888523000.0,188886700.0,48.01498993841282,98.60286086844654,48.695331469614466
2024-12-31,47421600000.0,6190440000.0,6873095000.0,17524610000.0,-21021000.0,17503589000.0,14724531000.0,46631831000.0,31691114000.0,42546953000.0,30692800000.0,187586700.0,33.00042060551201,78.4945361264951,42.04167861101994
2023-12-31,68889680000.0,4655215000.0,6058912000.0,4390721000.0,-7653000.0,4383068000.0,12129173000.0,46464428000.0,34035728000.0,42413003000.0,33072057000.0,187586700.0,24.816338258522592,64.65902433381471,38.380316613506956
2022-12-31,48200310000.0,3999485000.0,5429547000.0,6617478000.0,-101740000.0,6515738000.0,10413826000.0,33472547000.0,22862199000.0,29016228000.0,21898666000.0,187586700.0,21.32072796205701,55.514735319721495,38.40552934147354
2021-12-31,,,,,,,,,,,,,,,
