date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2026-03-31,61037902000.0,16171474000.0,11219098000.0,21981335000.0,-13207421000.0,8773914000.0,406700597000.0,599931908000.0,193195750000.0,216440269000.0,79611375000.0,12578524619.0,1.2856415589132617,32.33293325877617,3.976260206964978
2025-12-31,61809545000.0,8698983000.0,13356178000.0,33002887000.0,-15493491000.0,17509396000.0,365824997000.0,567274863000.0,201362691000.0,204783258000.0,89527187000.0,12588156344.0,0.6910450396611312,29.061046510942507,2.3779083089830517
2025-09-30,59127040000.0,14982060000.0,11007206000.0,20937564000.0,-12170616000.0,8766948000.0,361060219000.0,555395422000.0,194195228000.0,192853677000.0,82275785000.0,12556327419.0,1.1931880636793069,28.75524084006048,4.149462945958054
2025-06-30,58757657000.0,8902530000.0,10767493000.0,22098031000.0,-8587879000.0,13510152000.0,336871499000.0,548143566000.0,211098060000.0,195174888000.0,110392714000.0,12557000000.0,0.7089694990841762,26.827387035119852,2.6427079840316203
2025-03-31,57858957000.0,7776741000.0,9716774000.0,23825705000.0,-14481661000.0,9344044000.0,390604898000.0,572962283000.0,182133652000.0,192323086000.0,72873366000.0,12558000000.0,0.6192658862876255,31.104068960025483,1.9909481524217856
2024-12-31,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,
