date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,20275577000.0,5277165000.0,6498133000.0,4773519000.0,-1193534000.0,3579985000.0,22837360000.0,27968731000.0,4904018000.0,18566576000.0,4453346000.0,144870049.0,36.426887658469695,157.64031390643072,23.10759649977055
2024-12-31,14278187000.0,3427777000.0,3798559000.0,2890676000.0,-632022000.0,2258654000.0,14466420000.0,18461872000.0,3803904000.0,9494797000.0,3420289000.0,142921102.0,23.983701161218306,101.2196225579061,23.69471507117863
2023-12-31,12062664000.0,2298194000.0,2676962000.0,3057220000.0,-467929000.0,2589291000.0,11477913000.0,15845649000.0,3507368000.0,9411209000.0,2785092000.0,140817000.0,16.3204300617113,81.50942712882677,20.0227515228596
2022-12-31,12031894000.0,2614281000.0,3034060000.0,2795105000.0,-816546000.0,1978559000.0,9520287000.0,15777273000.0,5318687000.0,9685650000.0,4537111000.0,135346000.0,19.315539432269887,70.34036469493003,27.460107032487567
2021-12-31,,,,,,,,,,,,,,,
