date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,17921409000.0,3103442000.0,2826226000.0,903397000.0,-906771000.0,-3374000.0,54947481000.0,75717524000.0,20668259000.0,42495527000.0,16517343000.0,865830000.0,3.584354896457734,63.462205051800005,5.648015056413596
2025-06-30,17835796000.0,1988963000.0,3093303000.0,490082000.0,-700084000.0,-210002000.0,47749740000.0,74250412000.0,26358961000.0,43336389000.0,22149711000.0,864374000.0,2.3010444552936575,55.2419901570385,4.165390219925805
2025-03-31,17351246000.0,2734000000.0,2919119000.0,2464339000.0,-689576000.0,1774763000.0,47301687000.0,74383276000.0,26884453000.0,43893999000.0,22333877000.0,864167000.0,3.16374034185522,54.73674301379247,5.779920703462437
2024-12-31,16313759000.0,2640953000.0,2518437000.0,1812148000.0,-801489000.0,1010659000.0,51428352000.0,71741950000.0,19945088000.0,42199809000.0,15569474000.0,863589000.0,3.058113292318452,59.551884055957174,5.135208299110965
2024-09-30,14949502000.0,2257532000.0,2439707000.0,7267264000.0,-453852000.0,6813412000.0,48501296000.0,66394731000.0,17770254000.0,38104182000.0,13812084000.0,863432000.0,2.6146031187169343,56.172687600181604,4.654580776563167
