date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-09-30,1536107000.0,211566000.0,170333000.0,51847000.0,-206302000.0,-154455000.0,5313458000.0,13201393000.0,7482491000.0,6444504000.0,4395077000.0,151261343.0,1.3986785771166927,35.127666425651135,3.9817008057652847
2025-06-30,1510064000.0,207248000.0,281738000.0,24676000.0,-41087000.0,-16411000.0,4120142000.0,11372473000.0,6878551000.0,5605653000.0,4223302000.0,150773000.0,1.3745697173897182,27.32678927924761,5.030117893994915
2025-03-31,1309089000.0,150332000.0,191200000.0,36273000.0,-530343000.0,-494070000.0,3877262000.0,11118871000.0,6831820000.0,6539855000.0,3962808000.0,150773000.0,0.9970750731231719,25.715890776199984,3.8772721575173406
2024-12-31,1335238000.0,194882000.0,210937000.0,451224000.0,-82196000.0,369028000.0,4857404000.0,10772494000.0,5521706000.0,6251277000.0,3145172000.0,149974318.0,1.2994358140705131,32.38823863163025,4.012060763321313
2024-09-30,1053618000.0,164984000.0,74439000.0,-262309000.0,-22659000.0,-284968000.0,4871623000.0,10511205000.0,5269782000.0,5982091000.0,3830480000.0,150361148.0,1.097251532024749,32.39947995076494,3.3866331610635716
