date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,950663310000.0,51118163000.0,63906997000.0,-624481000.0,-13932398000.0,-14556879000.0,124652762000.0,338189324000.0,213536562000.0,306976861000.0,179653598000.0,185840791.0,275.0642780034228,670.7502767785787,41.008447931542825
2024-12-31,360541104000.0,22776168000.0,28109431000.0,-19993257000.0,-5107393000.0,-25100650000.0,88202834000.0,190678828000.0,102475994000.0,173682795000.0,76364414000.0,185840791.0,122.55742066874866,474.6150375565287,25.82249001205562
2023-12-31,241900989000.0,12043655000.0,15862728000.0,23060424000.0,-4999379000.0,18061045000.0,42234052000.0,88845397000.0,46611345000.0,79195299000.0,36494015000.0,174840800.0,68.88355006382949,241.5571880247631,28.516456341911024
2022-12-31,292876040000.0,14174709000.0,17837412000.0,30677601000.0,-1588871000.0,29088730000.0,38787006000.0,88837782000.0,50050776000.0,84051090000.0,38562438000.0,174841000.0,81.07199684284579,221.8415932189818,36.54499396009066
2021-12-31,,,,,,,,,,,,,,,
