date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,1868104000.0,765577000.0,572301000.0,1066055000.0,-46077000.0,1019978000.0,12242597000.0,14740272000.0,2376226000.0,12939212000.0,2287583000.0,162708000.0,4.70522039481771,75.2427477444256,6.2533872510873305
2025-06-30,1328703000.0,-546104000.0,270756000.0,99669000.0,-1575000.0,98094000.0,10630907000.0,13207882000.0,2389441000.0,11081859000.0,2236068000.0,162602000.0,-3.358531875376687,65.37992767616635,-5.136946452452269
2025-03-31,974960000.0,331914000.0,174336000.0,969263000.0,-1008000.0,968255000.0,11128527000.0,13734403000.0,2423701000.0,11729707000.0,2267605000.0,162492000.0,2.0426482534524775,68.48661472564804,2.9825510599920366
2024-12-31,1225378000.0,502448000.0,348600000.0,481005000.0,-22451000.0,458554000.0,11907057000.0,13008288000.0,1101231000.0,10786575000.0,965019000.0,162348000.0,3.0948825978761674,73.34280065045458,4.219749682898134
2024-09-30,1274298000.0,336933000.0,380790000.0,82732000.0,-29295000.0,53437000.0,11380519000.0,12396092000.0,1015573000.0,10164162000.0,889556000.0,,,,2.960611901794637
