date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,260675651000.0,80619233000.0,,6709387000.0,-6641585000.0,67802000.0,518343310000.0,9331086670000.0,8781805470000.0,,,19677817000.0,4.096960196346983,26.341504751263823,15.553250412357015
2024-12-31,194126635000.0,72028449000.0,,-65355927000.0,-4916904000.0,-70272831000.0,483947737000.0,8839609949000.0,8329258201000.0,,,19620316000.0,3.671115643601255,24.66564437596214,14.883518093607698
2023-12-31,131269802000.0,56081479000.0,,-16507465000.0,-4407610000.0,-20915075000.0,441749634000.0,8304134831000.0,7838789482000.0,,,19622892000.0,2.8579619660547486,22.51195358971552,12.695308537595754
2022-12-31,150965176000.0,31278991000.0,,94596682000.0,-4276025000.0,90320657000.0,369496246000.0,7720493113000.0,7327670855000.0,,,19584075000.0,1.5971645839795854,18.86717886854498,8.465306843739896
2021-12-31,,,,,,,,,,,,,,,
