date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,2999698000.0,731967000.0,808032000.0,1264331000.0,-45366000.0,1218965000.0,6844831000.0,13431567000.0,6586860000.0,10737757000.0,3997316000.0,77873288.0,9.39946185398002,87.89703344746404,10.693719099857981
2025-09-30,2514032000.0,529792000.0,560964000.0,675519000.0,-25491000.0,650028000.0,4097937000.0,9127268000.0,5028890000.0,6935320000.0,4785305000.0,75800203.0,6.989321651288981,54.062348619303826,12.928261220218856
2025-06-30,2908774000.0,195802000.0,794348000.0,82413000.0,-44052000.0,38361000.0,3514644000.0,8639639000.0,5124220000.0,6458764000.0,3951605000.0,75800203.0,2.5831329237996896,46.367210916308494,5.57103365234146
2025-03-31,2104723000.0,321702000.0,382194000.0,886584000.0,-53939000.0,832645000.0,3568399000.0,8119154000.0,4549290000.0,5889426000.0,3385728000.0,76000000.0,4.232921052631579,46.952618421052634,9.015303501654383
2024-12-31,2500991000.0,432057000.0,452396000.0,876544000.0,-77655000.0,798889000.0,3696075000.0,7031209000.0,3333227000.0,5046558000.0,2180400000.0,76000000.0,5.684960526315789,48.63256578947368,11.689616687973052
2024-09-30,,,,,,,,,,,,,,,
