date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,142600871000.0,30038805000.0,,5359193000.0,-2480156000.0,2879037000.0,982581684000.0,12875478154000.0,11877670227000.0,,,13665721905.0,2.1981132946229085,71.90119123092165,3.057130566256311
2025-09-30,124288006000.0,39521655000.0,,-27739545000.0,-1991126000.0,-29730671000.0,943355859000.0,12402055230000.0,11444419033000.0,,,14007364953.0,2.8214910607819585,67.34713218120005,4.189474695359898
2025-06-30,3760808000.0,10325725000.0,,25408509000.0,-2703677000.0,22704832000.0,816197196000.0,11902138662000.0,11071813653000.0,,,14007364952.0,0.7371639873297992,58.269146181092516,1.2651017487690561
2025-03-31,108654850000.0,41057794000.0,,11379389000.0,-1479182000.0,9900207000.0,914177134000.0,12125079808000.0,11196002957000.0,,,14007364952.0,2.9311575832210814,65.2640333947658,4.491229595773285
2024-12-31,102155925000.0,29510940000.0,,75360334000.0,-1963039000.0,73397295000.0,951125602000.0,12067311207000.0,11101516452000.0,,,14007364952.0,2.1068159572572833,67.90182202429132,3.102738475123078
2024-09-30,,,,,,,,,,,,,,,
