date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,7857179000.0,1672872000.0,2064160000.0,1802778000.0,-290918000.0,1511860000.0,6445309000.0,9044206000.0,2598897000.0,6426346000.0,2524213000.0,36041642.0,46.414977430828486,178.82950504863237,25.954876639739073
2024-12-31,5798096000.0,1185837000.0,1350848000.0,1048961000.0,-301709000.0,747252000.0,5539904000.0,7580009000.0,2040105000.0,5045430000.0,1812377000.0,35824000.0,33.10174743188924,154.6422510049129,21.40537092339506
2023-12-31,3682049000.0,464038000.0,561908000.0,599526000.0,-871218000.0,-271692000.0,3489434000.0,4875513000.0,1386079000.0,2376523000.0,979300000.0,34773000.0,13.344778995197423,100.34894889713283,13.298374464168115
2022-12-31,5122173000.0,1100232000.0,1359495000.0,1062685000.0,-779480000.0,283205000.0,3695542000.0,5698865000.0,2003323000.0,3961522000.0,1947759000.0,34538000.0,31.855695176327522,106.99930511320864,29.7718710814273
2021-12-31,,,,,,,,,,,,,,,
