date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,64466653000.0,4925406000.0,1303085000.0,-5811602000.0,-3812405000.0,-9624007000.0,355665838000.0,610598465000.0,238799500000.0,177835621000.0,134700304000.0,7930822000.0,0.621046090808746,44.84602453566604,1.3848409022628707
2025-09-30,64177490000.0,3256142000.0,1036163000.0,7823666000.0,-2816225000.0,5007441000.0,328987874000.0,588213361000.0,243647296000.0,175360882000.0,151111586000.0,7930822000.0,0.4105680344357748,41.482191127224894,0.9897452937733505
2025-06-30,65715970000.0,-4116061000.0,1299231000.0,5273208000.0,-2070391000.0,3202817000.0,315318797000.0,580481384000.0,249920410000.0,173953680000.0,115700954000.0,7930822000.0,-0.5189955089144606,39.758652633989264,-1.3053649319865952
2025-03-31,65551631000.0,453111000.0,41223000.0,1364094000.0,-2630313000.0,-1266219000.0,343995733000.0,618904591000.0,258976053000.0,187971571000.0,125995755000.0,7930822000.0,0.057132917621906025,43.37453709085893,0.13171994781691085
2024-12-31,68148931000.0,298182000.0,-346495000.0,5375977000.0,-2265903000.0,3110074000.0,346583223000.0,617473497000.0,254870192000.0,185501596000.0,140671073000.0,7930822000.0,0.03759786816549407,43.70079457085281,0.08603474727338432
2024-09-30,,,,,,,,,,,,,,,
