date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,44356417000.0,3859891000.0,4649749000.0,6106818000.0,-2000663000.0,4106155000.0,89822065000.0,205687383000.0,115708590000.0,164020954000.0,109597232000.0,2269772000.0,1.7005633164917004,39.57316637970686,4.297263706863118
2025-06-30,40421376000.0,3155195000.0,3732308000.0,-2351232000.0,-1791648000.0,-4142880000.0,80489113000.0,194869520000.0,114229781000.0,156455283000.0,108243082000.0,2269772000.0,1.390093366205945,35.46132078464269,3.920027047633138
2025-03-31,36416560000.0,3455561000.0,3669809000.0,6488122000.0,-1226454000.0,5261668000.0,89622850000.0,208292203000.0,118530459000.0,171215194000.0,112190835000.0,2300245742.0,1.5022573183835068,38.9622936208874,3.8556696199685687
2024-12-31,38299416000.0,3049126000.0,3529300000.0,5157593000.0,-1285504000.0,3872089000.0,90773153000.0,204682769000.0,113772045000.0,169116615000.0,107869245000.0,2300245742.0,1.3255653273588366,39.46237192947709,3.3590614617077366
2024-09-30,36773082000.0,3390131000.0,3907909000.0,6503626000.0,-1071574000.0,5432052000.0,85993087000.0,196977675000.0,110525817000.0,162662948000.0,104784487000.0,2300245742.0,1.473812531461258,37.38430439403026,3.9423296898272766
