date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,131240882000.0,6673144000.0,6674372000.0,14967094000.0,-26055890000.0,-11088796000.0,100569302000.0,255791612000.0,148784535000.0,105297620000.0,75454571000.0,1528588262.0,4.365560148465931,65.7922767694261,6.635368713208331
2024-12-31,115373282000.0,5082063000.0,5116677000.0,10293587000.0,-26729245000.0,-16435658000.0,93264763000.0,230846946000.0,131259873000.0,86869090000.0,58381858000.0,1540625292.0,3.298701524887078,60.53695436800605,5.4490708350376655
2023-12-31,104036151000.0,11980052000.0,8919919000.0,30900026000.0,-23282394000.0,7617632000.0,90660883000.0,216005530000.0,119721037000.0,86579363000.0,44246929000.0,1535714868.0,7.800961135189062,59.03497119753092,13.214135582597402
2022-12-31,140489172000.0,29618505000.0,38171926000.0,61082021000.0,-32462619000.0,28619402000.0,85734519000.0,218663429000.0,126005073000.0,107587687000.0,54892563000.0,1489871886.0,19.87990059972177,57.54489349428532,34.54676756278297
2021-12-31,,,,,,,,,,,,,,,
