date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,128508030000.0,39362718000.0,47203141000.0,-50175014000.0,-4104428000.0,-54279442000.0,340417373000.0,4292144271000.0,3923917747000.0,1013835200000.0,2355195821000.0,13331150000.0,2.9526873525539807,25.53548441057223,11.563075542563451
2024-12-31,120783202000.0,38312404000.0,45835641000.0,-107366211000.0,-5803715000.0,-113169926000.0,314238604000.0,3715729804000.0,3379876477000.0,857218396000.0,2028038443000.0,13331149944.0,2.873900913344944,23.57175527392748,12.192137920775641
2023-12-31,98102700000.0,28528229000.0,33998468000.0,-35466861000.0,-3307744000.0,-38774605000.0,287006938000.0,3298659820000.0,2990283674000.0,733038735000.0,1823693427000.0,13331149944.0,2.139967603682967,21.529045821675293,9.939909187839913
2022-12-31,91553380000.0,22710413000.0,28465311000.0,7927348000.0,-2676495000.0,5250853000.0,256368147000.0,3016118537000.0,2738735629000.0,701190309000.0,1618068452000.0,13331149953.0,1.703559938945051,19.230760129759677,8.85851587482902
2021-12-31,,,,,,,,,,,,,,,
