date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,10791851000.0,369853000.0,532236000.0,642390000.0,-1172744000.0,-530354000.0,47600469000.0,90825325000.0,40500414000.0,37342131000.0,29082191000.0,2908061000.0,0.1271819951507207,16.36845616374622,0.7769944451597735
2025-09-30,10726802000.0,277164000.0,146476000.0,424483000.0,-1124997000.0,-700514000.0,44784662000.0,86865646000.0,39460175000.0,35353222000.0,31290820000.0,2908061000.0,0.09530886731743247,15.400179707372025,0.6188815268941853
2025-06-30,10323425000.0,-867514000.0,-136444000.0,1548164000.0,-935701000.0,612463000.0,42694571000.0,83370948000.0,38148204000.0,33471593000.0,31324839000.0,2908061000.0,-0.2983135498189343,14.68145647563789,-2.0319070544121405
2025-03-31,9652304000.0,-369832000.0,-153652000.0,-197249000.0,-1470998000.0,-1668247000.0,48690180000.0,91082040000.0,39460498000.0,36523873000.0,33662067000.0,2908061000.0,-0.12717477384415252,16.743176982876218,-0.7595617843269423
2024-12-31,11560095000.0,-46493000.0,-139111000.0,983967000.0,-1110557000.0,-126590000.0,48436671000.0,90375732000.0,39008464000.0,36395702000.0,31195281000.0,2908061000.0,-0.015987628870233465,16.65600240160024,-0.09598719119239223
2024-09-30,,,,,,,,,,,,,,,
