date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,70882362000.0,10592508000.0,11546311000.0,9902694000.0,-3013242000.0,6889452000.0,54947481000.0,75717524000.0,20668259000.0,42495527000.0,16517343000.0,865830000.0,12.233935068084959,63.462205051800005,19.27751337681886
2024-12-31,59786293000.0,9005037000.0,9094032000.0,10510851000.0,-1637660000.0,8873191000.0,51428352000.0,71741950000.0,19945088000.0,42199809000.0,15569474000.0,863589000.0,10.42745681105248,59.551884055957174,17.509868875440535
2023-12-31,64567697000.0,10837530000.0,12160381000.0,9664660000.0,-1287738000.0,8376922000.0,48461152000.0,69056272000.0,20246694000.0,41385737000.0,16026807000.0,858449000.0,12.624547294015137,56.45198724676713,22.36333548158327
2022-12-31,68744701000.0,10757077000.0,12582879000.0,9731274000.0,-1477465000.0,8253809000.0,43814702000.0,66384938000.0,22100924000.0,41747348000.0,18480816000.0,855679129.0,12.571391115465667,51.20459353870719,24.551295590233615
