date,revenue,net_income,operating_income,operating_cash_flow,capital_expenditure,free_cash_flow,equity,total_assets,total_liabilities,current_assets,current_liabilities,shares_outstanding,eps,book_value_per_share,roe
2025-12-31,4806802000.0,1034719000.0,973544000.0,902150000.0,-98029000.0,804121000.0,10287062000.0,16796952000.0,6633416000.0,14293602000.0,5541652000.0,272172000.0,3.801709948121041,37.796180356539246,10.05845011918855
2025-06-30,3288429000.0,-726945000.0,-390709000.0,273797000.0,-112621000.0,161176000.0,9259961000.0,17035848000.0,7881741000.0,14449061000.0,5706089000.0,272682000.0,-2.665907540651748,33.95882749869812,-7.850411033048628
2025-03-31,2902935000.0,-76190000.0,-155886000.0,-329674000.0,-213871000.0,-543545000.0,10023749000.0,17541857000.0,7609140000.0,14905000000.0,5338654000.0,273172000.0,-0.27890852649612696,36.69391079612845,-0.76009485073898
2024-12-31,3154849000.0,108884000.0,-165169000.0,-424583000.0,-211544000.0,-636127000.0,10386081000.0,17671665000.0,7384188000.0,14882136000.0,5041643000.0,273172000.0,0.39859136368295434,38.02029856647094,1.0483646333973324
2024-09-30,3412509000.0,208024000.0,40909000.0,-261630000.0,-92857000.0,-354487000.0,10272968000.0,18333475000.0,8159203000.0,14546644000.0,5788479000.0,273172000.0,0.761512892975854,37.606226113950186,2.0249649371048366
