Date,Open,High,Low,Close,Volume
2021-05-13,92.0,98.0,90.0,95.0,726720
2021-05-14,104.5,104.5,102.5,104.5,868373
2021-05-17,96.0,105.5,94.4,96.7,2603095
2021-05-18,100.0,105.0,99.0,104.0,1044857
2021-05-19,102.5,107.0,101.0,104.0,974693
2021-05-20,105.0,106.5,103.0,103.5,664321
2021-05-21,106.5,107.5,104.5,105.5,752757
2021-05-24,104.0,108.5,103.5,107.0,562681
2021-05-25,109.0,112.0,107.5,108.5,935304
2021-05-26,110.0,111.0,108.5,110.0,518986
2021-05-27,110.0,110.0,107.5,108.0,690410
2021-05-28,109.0,110.5,108.5,110.5,653684
2021-05-31,112.0,112.0,109.0,110.0,608080
2021-06-01,111.0,116.5,111.0,114.5,1568639
2021-06-02,115.0,115.5,111.5,112.5,716479
2021-06-03,113.0,114.5,112.0,113.0,355243
2021-06-04,112.5,112.5,110.5,111.0,423131
2021-06-07,112.5,113.5,109.0,112.5,516641
2021-06-08,112.5,115.0,112.0,114.0,512660
2021-06-09,113.5,116.5,113.0,113.0,793366
2021-06-10,114.0,116.0,113.0,114.0,540201
2021-06-11,115.0,116.0,114.5,115.0,389016
2021-06-15,117.5,119.0,116.5,117.5,1398388
2021-06-16,118.5,120.5,114.0,114.5,1317570
2021-06-17,114.0,116.5,113.0,116.5,338443
2021-06-18,119.0,121.5,118.0,119.0,1553438
2021-06-21,117.0,117.5,115.0,115.5,677942
2021-06-22,117.0,117.0,113.0,113.5,790621
2021-06-23,114.0,117.0,113.5,116.0,590778
2021-06-24,117.0,119.0,115.0,117.0,615397
2021-06-25,118.5,120.0,117.0,117.5,643251
2021-06-28,117.5,118.0,115.5,116.0,454249
2021-06-29,116.5,121.5,116.5,119.0,1449027
2021-06-30,122.5,123.0,117.0,117.0,1415738
2021-07-01,118.0,118.0,115.0,115.0,669367
2021-07-02,116.0,119.0,115.5,118.5,587955
2021-07-05,119.5,123.0,119.0,123.0,1509932
2021-07-06,122.0,124.0,119.5,120.0,884480
2021-07-07,119.5,121.0,118.5,118.5,642588
2021-07-08,120.0,121.0,118.0,118.5,573044
2021-07-09,118.0,119.0,116.0,116.0,641850
2021-07-12,115.0,116.5,113.0,113.5,1199704
2021-07-13,114.5,118.5,114.0,116.5,1178916
2021-07-14,117.0,122.0,117.0,118.5,1861686
2021-07-15,119.5,121.0,118.5,119.0,878359
2021-07-16,118.0,123.0,117.5,121.0,976584
2021-07-19,121.0,122.0,118.0,118.5,794830
2021-07-20,117.5,118.0,114.0,114.0,961007
2021-07-21,116.0,116.5,113.5,114.0,717740
2021-07-22,110.5,110.5,105.5,106.5,1859857
2021-07-23,106.5,107.0,104.5,106.5,781552
2021-07-26,107.0,108.0,105.5,106.5,475629
2021-07-27,107.5,107.5,104.5,105.0,579423
2021-07-28,106.0,106.5,100.0,106.0,912247
2021-07-29,106.5,106.5,103.0,105.5,455193
2021-07-30,106.0,109.0,105.5,106.5,604871
2021-08-02,107.5,107.5,105.0,106.0,231742
2021-08-03,107.0,107.0,105.0,105.5,213032
2021-08-04,106.0,106.0,105.0,105.0,351562
2021-08-05,105.0,107.0,105.0,105.5,248580
2021-08-06,106.5,106.5,102.5,103.0,610583
2021-08-09,100.5,101.0,98.8,98.8,1141470
2021-08-10,99.8,99.9,97.5,98.7,318626
2021-08-11,98.7,99.0,94.1,95.6,775998
2021-08-12,95.6,98.0,95.4,97.0,343909
2021-08-13,96.3,97.5,94.2,94.2,478500
2021-08-16,93.7,95.4,91.2,93.3,498704
2021-08-17,94.2,94.4,90.8,90.9,714271
2021-08-18,90.0,94.1,89.6,94.0,415902
2021-08-19,93.4,93.4,91.4,92.0,320951
2021-08-20,92.0,92.2,90.1,90.7,287742
2021-08-23,91.9,93.7,91.9,93.2,289622
2021-08-24,93.6,95.0,93.4,93.5,357725
2021-08-25,94.0,96.4,93.6,95.9,463387
2021-08-26,96.3,97.7,94.2,95.2,222694
2021-08-27,94.9,96.6,94.2,95.6,240987
2021-08-30,96.0,96.9,94.8,95.0,166171
2021-08-31,95.5,95.5,94.0,94.6,133225
2021-09-01,95.5,98.6,95.5,98.0,593949
2021-09-02,97.9,98.0,95.2,96.0,355951
2021-09-03,96.3,97.5,95.0,95.4,353569
2021-09-06,95.4,95.4,92.3,92.3,261677
2021-09-07,89.6,94.0,89.5,92.0,546015
2021-09-08,90.8,91.8,90.0,90.1,329382
2021-09-09,90.0,91.1,90.0,90.5,110814
2021-09-10,90.5,93.5,90.4,92.9,251376
2021-09-13,91.8,92.7,91.7,91.9,116317
2021-09-14,91.9,92.3,90.5,90.5,148887
2021-09-15,90.5,91.4,89.9,90.3,234240
2021-09-16,90.3,90.9,90.0,90.2,129776
2021-09-17,90.2,91.0,90.2,90.6,77034
2021-09-22,89.1,90.7,89.0,89.4,268674
2021-09-23,89.8,90.6,89.8,89.8,104304
2021-09-24,90.5,90.7,90.0,90.5,77316
2021-09-27,90.5,91.5,90.5,90.9,70350
2021-09-28,91.0,91.0,89.8,90.1,123305
2021-09-29,89.5,89.5,88.3,88.3,313317
2021-09-30,88.1,88.5,87.5,87.5,271687
2021-10-01,87.5,87.5,82.1,82.1,862511
2021-10-04,83.0,84.6,82.2,82.8,390052
2021-10-05,82.2,85.8,81.9,85.5,217495
2021-10-06,85.6,90.1,85.6,86.4,539941
2021-10-07,88.8,92.5,88.2,91.8,721259
2021-10-08,91.8,96.1,90.8,93.8,689847
2021-10-12,91.3,92.9,90.1,91.0,300227
2021-10-13,90.6,91.0,88.3,89.0,197537
2021-10-14,88.7,90.0,87.6,88.6,115285
2021-10-15,90.0,91.4,89.6,90.8,126557
2021-10-18,90.8,92.3,89.4,89.9,203094
2021-10-19,90.1,91.6,90.1,91.2,132846
2021-10-20,91.6,91.9,90.7,91.0,117094
2021-10-21,91.8,92.1,90.8,90.8,87364
2021-10-22,91.0,91.7,90.0,91.1,150412
2021-10-25,90.6,91.0,90.0,90.9,93692
2021-10-26,90.3,91.8,90.3,91.0,89625
2021-10-27,91.0,91.1,90.0,90.9,89793
2021-10-28,91.2,96.0,91.2,94.7,535039
2021-10-29,94.5,94.5,90.2,90.2,914800
2021-11-01,90.4,91.5,90.3,91.4,203383
2021-11-02,91.4,92.0,89.5,89.5,444964
2021-11-03,89.5,90.7,89.2,89.7,173045
2021-11-04,89.9,92.3,89.9,91.0,286733
2021-11-05,91.8,91.8,90.1,91.3,176668
2021-11-08,90.6,99.0,90.6,96.0,1015463
2021-11-09,96.0,96.3,93.4,93.8,373941
2021-11-10,94.8,94.8,93.2,93.6,163748
2021-11-11,93.3,94.3,92.8,93.1,113406
2021-11-12,93.1,96.3,93.0,93.0,516086
2021-11-15,93.5,94.1,91.7,92.2,440050
2021-11-16,92.3,93.7,91.8,92.0,176059
2021-11-17,92.1,95.0,92.1,93.8,446992
2021-11-18,94.1,95.7,93.9,95.4,622719
2021-11-19,96.0,98.5,94.5,96.1,805319
2021-11-22,97.0,105.5,96.9,105.5,3426467
2021-11-23,105.5,108.0,101.0,101.5,2601865
2021-11-24,102.5,102.5,100.5,102.5,770969
2021-11-25,103.0,103.0,98.2,99.5,874750
2021-11-26,98.5,99.1,94.8,95.7,678881
2021-11-29,92.7,96.7,92.6,94.9,447168
2021-11-30,95.6,96.7,94.1,95.6,978360
2021-12-01,94.6,100.5,94.5,99.2,548970
2021-12-02,98.0,98.9,96.2,96.7,346462
2021-12-03,98.0,98.0,96.3,96.7,201417
2021-12-06,96.0,96.0,94.2,94.3,383533
2021-12-07,94.9,100.5,94.3,98.4,2377242
2021-12-08,99.9,99.9,96.2,96.4,284866
2021-12-09,96.5,97.5,95.7,97.1,135313
2021-12-10,97.4,97.4,95.1,95.1,431516
2021-12-13,97.1,97.8,95.3,97.0,390556
2021-12-14,99.0,99.0,94.4,95.8,766993
2021-12-15,95.9,95.9,93.7,93.7,505146
2021-12-16,95.0,95.0,92.2,93.2,679598
2021-12-17,93.2,93.2,91.3,91.6,656931
2021-12-20,91.1,92.6,91.1,91.7,296400
2021-12-21,91.7,92.3,91.1,91.7,154532
2021-12-22,92.7,92.7,91.9,92.1,104541
2021-12-23,92.5,92.5,91.8,92.0,131336
2021-12-24,92.5,93.9,92.2,92.5,203849
2021-12-27,93.7,93.7,91.8,92.3,105764
2021-12-28,92.8,94.0,92.5,92.9,266005
2021-12-29,92.9,93.5,92.4,93.4,152642
2021-12-30,93.7,93.9,92.7,93.0,128630
2022-01-03,93.0,93.6,92.2,92.2,131942
2022-01-04,93.1,93.2,92.4,92.5,151531
2022-01-05,93.1,95.5,92.3,94.0,826583
2022-01-06,94.9,94.9,92.5,92.8,238923
2022-01-07,93.0,93.1,90.8,91.8,253368
2022-01-10,91.6,92.6,91.4,91.5,113533
2022-01-11,91.5,92.3,90.9,90.9,137295
2022-01-12,90.9,91.1,90.1,90.2,189434
2022-01-13,90.1,91.6,90.0,90.1,241157
2022-01-14,89.9,90.6,88.6,90.4,283510
2022-01-17,89.8,90.7,89.6,90.5,76892
2022-01-18,90.6,92.3,90.6,91.4,170475
2022-01-19,90.9,91.6,90.7,91.2,75191
2022-01-20,91.2,92.0,91.2,91.6,67270
2022-01-21,91.0,91.1,89.8,89.9,225433
2022-01-24,88.9,89.6,88.1,89.0,187842
2022-01-25,88.4,88.7,88.0,88.1,164796
2022-01-26,88.3,88.7,87.6,87.6,166376
2022-02-07,87.7,88.9,87.7,88.9,78118
2022-02-08,88.3,90.1,88.3,89.6,114010
2022-02-09,89.9,90.5,89.0,89.8,170145
2022-02-10,91.0,91.0,89.6,89.6,97948
2022-02-11,88.4,89.5,88.4,88.8,134025
2022-02-14,88.8,88.8,86.5,86.5,231651
2022-02-15,86.5,87.0,85.7,85.7,182596
2022-02-16,86.2,87.7,86.2,86.3,153624
2022-02-17,86.4,87.3,86.4,86.6,93624
2022-02-18,86.0,86.3,85.5,85.9,98878
2022-02-21,85.1,86.0,85.1,85.9,68199
2022-02-22,86.0,86.0,84.4,84.4,206794
2022-02-23,84.4,84.9,84.4,84.7,80396
2022-02-24,84.7,84.7,81.5,81.5,318486
2022-02-25,82.6,83.5,81.6,82.2,131429
2022-03-01,82.2,83.3,82.2,82.8,77549
2022-03-02,83.0,83.7,82.3,83.4,78199
2022-03-03,84.0,84.0,83.1,83.1,81987
2022-03-04,82.2,83.0,82.2,82.9,91073
2022-03-07,82.2,82.2,79.0,79.4,364963
2022-03-08,78.2,79.6,76.9,77.0,351693
2022-03-09,78.4,78.8,77.2,78.0,136502
2022-03-10,79.8,82.8,79.7,82.0,200664
2022-03-11,80.6,83.9,80.6,83.3,227599
2022-03-14,82.6,83.8,82.6,83.4,109319
2022-03-15,83.4,83.4,82.0,82.8,140804
2022-03-16,83.2,85.5,83.2,84.3,224637
2022-03-17,86.0,87.4,85.6,86.5,260802
2022-03-18,86.3,86.5,85.7,86.1,90886
2022-03-21,87.3,87.3,85.5,85.5,76800
2022-03-22,86.5,86.5,85.0,85.4,66000
2022-03-23,84.4,85.9,83.5,85.4,151251
2022-03-24,84.6,85.1,84.5,84.6,89206
2022-03-25,85.1,85.1,83.3,83.3,87742
2022-03-28,83.3,84.2,82.3,83.6,69075
2022-03-29,83.6,84.9,83.6,84.4,94509
2022-03-30,84.8,86.0,84.3,86.0,162181
2022-03-31,85.5,85.7,84.8,84.8,79550
2022-04-01,83.5,84.2,83.5,83.9,35125
2022-04-06,83.9,84.0,82.0,82.3,118507
2022-04-07,82.3,82.3,80.6,80.7,180310
2022-04-08,80.8,82.7,80.8,81.9,47626
2022-04-11,81.9,82.5,80.1,80.2,77080
2022-04-12,79.3,81.9,79.2,80.9,98200
2022-04-13,80.9,84.3,80.9,84.0,194884
2022-04-14,84.0,88.4,83.7,87.0,528220
2022-04-15,86.8,88.4,86.3,86.6,413153
2022-04-18,86.0,86.2,83.7,83.7,312694
2022-04-19,84.0,84.7,83.0,83.5,103585
2022-04-20,84.5,84.5,82.7,83.6,51071
2022-04-21,82.6,84.5,82.6,84.1,176200
2022-04-22,83.0,84.3,83.0,83.5,107619
2022-04-25,81.5,81.6,79.0,79.4,268404
2022-04-26,79.5,79.7,78.0,78.6,137310
2022-04-27,76.0,76.0,72.2,73.6,406978
2022-04-28,73.8,74.8,71.1,74.0,111626
2022-04-29,75.1,76.8,73.2,73.5,188365
2022-05-03,73.0,73.5,71.0,72.6,180875
2022-05-04,73.5,74.7,72.4,73.5,109066
2022-05-05,74.6,75.5,74.6,75.0,111336
2022-05-06,73.2,73.9,72.9,73.6,80182
2022-05-09,72.6,72.9,70.6,70.9,269382
2022-05-10,69.8,71.7,69.0,71.7,89620
2022-05-11,69.9,70.9,66.6,68.2,549109
2022-05-12,67.2,68.9,67.2,67.4,321476
2022-05-13,67.5,70.0,67.5,70.0,150819
2022-05-16,71.0,71.5,70.0,70.2,85284
2022-05-17,71.4,73.0,70.7,73.0,117250
2022-05-18,73.5,73.9,72.5,73.0,91236
2022-05-19,70.8,73.8,70.8,73.6,88808
2022-05-20,74.1,74.4,73.0,74.3,76120
2022-05-23,74.4,77.3,73.7,77.0,205664
2022-05-24,76.6,77.3,76.0,77.2,172151
2022-05-25,76.5,76.9,75.4,76.0,60220
2022-05-26,76.6,76.6,74.6,74.6,61453
2022-05-27,74.8,75.8,74.6,74.8,40396
2022-05-30,76.0,76.0,74.8,75.0,75046
2022-05-31,75.0,76.0,74.8,75.5,93205
2022-06-01,76.2,77.0,75.6,76.5,69049
2022-06-02,77.0,77.0,76.0,76.7,44140
2022-06-06,78.1,78.1,75.9,76.6,26087
2022-06-07,76.4,76.8,76.1,76.8,21102
2022-06-08,76.8,77.9,76.8,77.7,48195
2022-06-09,78.7,81.0,78.7,80.4,273205
2022-06-10,79.4,82.2,79.3,82.0,240388
2022-06-13,80.5,81.1,79.4,80.2,207721
2022-06-14,79.5,81.9,79.5,81.2,127401
2022-06-15,81.3,82.5,80.9,82.0,101915
2022-06-16,82.8,82.8,78.5,78.7,164330
2022-06-17,76.3,79.1,76.3,78.0,142854
2022-06-20,78.0,78.0,75.0,75.1,121584
2022-06-21,75.4,76.9,75.3,76.6,62003
2022-06-22,76.7,76.7,74.0,74.0,151361
2022-06-23,74.2,76.4,73.8,75.0,87517
2022-06-24,75.0,77.8,75.0,77.4,124045
2022-06-27,78.4,80.8,78.4,79.6,203560
2022-06-28,78.7,79.0,77.8,78.2,37211
2022-06-29,77.6,78.2,77.0,77.0,49483
2022-06-30,77.0,77.0,73.4,73.6,130787
2022-07-01,73.7,73.7,68.5,68.5,165184
2022-07-04,69.5,70.1,67.9,68.1,120296
2022-07-05,69.0,70.5,67.8,68.8,93271
