Date,Open,High,Low,Close,Volume
2021-05-13,32.05,32.5,31.0,31.2,93416
2021-05-14,31.2,33.4,30.6,32.05,146000
2021-05-17,31.05,31.95,30.4,31.7,70320
2021-05-18,30.9,33.6,30.9,31.8,32048
2021-05-19,31.7,31.7,31.4,31.7,15057
2021-05-20,31.5,32.75,31.5,31.7,92050
2021-05-21,32.0,33.35,31.75,32.05,33405
2021-05-24,32.05,32.65,32.05,32.65,8003
2021-05-25,31.9,33.7,31.9,32.5,33800
2021-05-26,32.5,35.0,32.5,34.5,7129
2021-05-27,32.8,32.9,32.8,32.9,2000
2021-05-28,32.9,32.9,32.6,32.7,9435
2021-05-31,32.75,32.75,32.75,32.75,24184
2021-06-01,33.8,33.8,32.7,33.4,13800
2021-06-02,33.4,33.4,32.75,32.8,4003
2021-06-03,32.5,33.2,32.0,33.2,32000
2021-06-04,32.6,34.2,32.6,33.55,58365
2021-06-07,33.0,33.0,32.95,33.0,8002
2021-06-08,32.85,32.85,32.85,32.85,3000
2021-06-09,32.75,32.75,32.4,32.4,8199
2021-06-10,32.05,33.35,32.05,33.0,73858
2021-06-11,32.9,33.2,32.9,33.2,25455
2021-06-15,32.9,32.9,32.9,32.9,2102
2021-06-16,32.8,32.8,32.75,32.75,6001
2021-06-17,32.4,32.5,32.3,32.35,18103
2021-06-18,32.25,34.35,32.25,33.35,24251
2021-06-21,32.4,32.9,32.4,32.9,7000
2021-06-22,32.9,35.35,32.7,33.2,36478
2021-06-23,33.4,33.6,33.4,33.5,10079
2021-06-24,33.6,35.0,33.2,34.25,42600
2021-06-25,34.25,35.5,33.95,34.35,80000
2021-06-28,34.4,34.5,33.65,34.2,6100
2021-06-29,34.3,34.95,33.8,34.7,112850
2021-06-30,34.9,35.5,34.55,34.55,19050
2021-07-01,34.0,34.0,34.0,34.0,3155
2021-07-02,33.9,33.9,33.9,33.9,2006
2021-07-05,34.0,34.35,34.0,34.0,13000
2021-07-06,34.0,34.0,34.0,34.0,5087
2021-07-07,34.1,34.7,33.9,34.65,35400
2021-07-08,34.1,35.15,34.0,34.1,49253
2021-07-09,34.0,34.1,33.95,34.1,27150
2021-07-12,34.85,34.85,34.0,34.8,64750
2021-07-13,34.85,34.85,34.0,34.85,89734
2021-07-14,35.4,35.4,34.05,35.0,114000
2021-07-15,34.15,34.45,34.15,34.45,24003
